Date,Abandoned Vehicle
2020-06-02,68
2020-06-03,50
2020-06-05,63
2020-06-10,68
2020-06-22,111
2020-06-24,112
2020-06-28,59
2020-06-29,108
2020-06-30,104
2020-07-05,63
2020-07-07,121
2020-07-10,95
2020-07-12,75
2020-07-15,118
2020-07-19,61
2020-07-21,120
2020-07-23,103
2020-07-24,91
2020-07-28,111
2020-07-29,103
2020-07-31,98
2020-08-01,83
2020-08-02,65
2020-08-06,130
2020-08-09,72
2020-08-11,112
2020-08-13,125
2020-08-14,113
2020-08-18,106
2020-08-20,145
2020-08-21,117
2020-08-24,142
2020-08-26,108
2020-08-27,135
2020-08-30,81
2020-09-04,115
2020-09-05,78
2020-09-07,64
2020-09-08,147
2020-09-09,149
2020-09-11,136
2020-09-12,107
2020-09-13,110
2020-09-14,145
2020-09-17,137
2020-09-18,115
2020-09-20,64
2020-09-21,139
2020-09-22,112
2020-09-23,124
2020-09-24,149
2020-09-25,156
2020-09-26,82
2020-09-27,79
2020-09-29,129
2020-09-30,113
2020-10-01,163
2020-10-03,69
2020-10-05,155
2020-10-06,148
2020-10-08,125
2020-10-09,121
2020-10-11,76
2020-10-12,68
2020-10-14,125
2020-10-15,131
2020-10-16,100
2020-10-17,79
2020-10-19,156
2020-10-20,131
2020-10-21,109
2020-10-22,117
2020-10-24,87
2020-10-26,106
2020-10-27,129
2020-10-28,117
2020-10-29,97
2020-11-03,94
2020-11-04,110
2020-11-05,118
2020-11-07,73
2020-11-08,76
2020-11-10,127
2020-11-13,114
2020-11-14,79
2020-11-17,117
2020-11-18,89
2020-11-21,68
2020-11-22,67
2020-11-24,100
2020-06-06,37
2020-06-07,59
2020-06-11,77
2020-06-15,99
2020-06-23,94
2020-07-03,61
2020-07-16,92
2020-08-12,118
2020-09-01,127
2020-09-10,122
2020-09-16,142
2020-09-19,64
2020-10-02,105
2020-10-18,88
2020-10-23,127
2020-11-19,85
2020-11-20,134
2020-06-12,76
2020-06-16,96
2020-06-18,108
2020-06-19,77
2020-06-21,65
2020-06-25,128
2020-06-26,84
2020-07-04,39
2020-07-08,129
2020-07-13,115
2020-07-17,71
2020-07-18,53
2020-07-20,114
2020-07-30,108
2020-08-03,151
2020-08-04,91
2020-08-05,108
2020-08-07,98
2020-08-08,66
2020-08-17,127
2020-08-22,84
2020-08-31,117
2020-09-15,109
2020-09-28,138
2020-10-04,91
2020-10-10,83
2020-10-13,114
2020-10-30,89
2020-11-02,109
2020-11-09,125
2020-11-12,126
2020-11-15,82
2020-11-16,110
2020-11-23,92
2020-06-04,67
2020-06-08,91
2020-06-09,69
2020-06-13,61
2020-06-14,59
2020-06-17,120
2020-06-20,75
2020-06-27,69
2020-07-01,78
2020-07-02,105
2020-07-06,102
2020-07-09,99
2020-07-11,65
2020-07-14,115
2020-07-22,86
2020-07-25,71
2020-07-26,63
2020-07-27,102
2020-08-10,135
2020-08-15,89
2020-08-16,63
2020-08-19,111
2020-08-23,81
2020-08-25,135
2020-08-28,110
2020-08-29,98
2020-09-02,123
2020-09-03,138
2020-09-06,72
2020-10-07,147
2020-10-25,90
2020-10-31,54
2020-11-01,65
2020-11-06,114
2020-11-11,84
2020-06-01,57