Date,Damaged Tree
2020-06-01,76
2020-06-05,90
2020-06-06,241
2020-06-07,107
2020-06-08,130
2020-06-09,108
2020-06-10,112
2020-06-14,49
2020-06-16,92
2020-06-17,80
2020-06-18,89
2020-06-21,36
2020-06-22,113
2020-06-23,106
2020-06-25,114
2020-06-26,94
2020-06-27,81
2020-06-30,1099
2020-07-03,186
2020-07-08,165
2020-07-09,137
2020-07-10,672
2020-07-11,403
2020-07-12,176
2020-07-13,259
2020-07-14,184
2020-07-15,179
2020-07-16,131
2020-07-20,115
2020-07-21,108
2020-07-22,337
2020-07-23,449
2020-07-24,195
2020-07-25,85
2020-07-26,75
2020-07-27,161
2020-07-29,124
2020-07-30,112
2020-08-03,228
2020-08-04,13908
2020-08-05,8361
2020-08-06,3187
2020-08-07,1821
2020-08-08,1130
2020-08-09,854
2020-08-10,1528
2020-08-11,1791
2020-08-12,1342
2020-08-13,802
2020-08-14,709
2020-08-15,370
2020-08-17,524
2020-08-18,510
2020-08-19,361
2020-08-21,334
2020-08-22,161
2020-08-23,137
2020-08-24,344
2020-08-25,676
2020-08-26,648
2020-08-27,481
2020-08-28,444
2020-08-30,137
2020-08-31,297
2020-09-01,296
2020-09-02,243
2020-09-03,216
2020-09-04,183
2020-09-05,96
2020-09-07,86
2020-09-08,219
2020-09-09,197
2020-09-11,186
2020-09-12,85
2020-09-13,82
2020-09-14,175
2020-09-18,146
2020-09-21,125
2020-09-22,114
2020-09-25,104
2020-09-26,60
2020-09-27,56
2020-09-28,105
2020-09-30,261
2020-10-02,90
2020-10-05,94
2020-10-08,114
2020-10-09,65
2020-10-11,40
2020-10-13,114
2020-10-17,36
2020-10-19,93
2020-10-21,65
2020-10-23,76
2020-10-24,42
2020-10-26,54
2020-10-28,61
2020-10-29,61
2020-10-30,109
2020-11-02,289
2020-11-04,71
2020-11-05,58
2020-11-07,48
2020-11-13,51
2020-11-16,276
2020-11-17,78
2020-11-18,73
2020-11-19,60
2020-11-21,38
2020-11-23,95
2020-11-24,42
2020-06-04,97
2020-06-11,113
2020-06-12,100
2020-06-29,838
2020-07-04,76
2020-07-06,231
2020-07-28,131
2020-08-01,101
2020-08-16,236
2020-08-20,353
2020-09-06,72
2020-09-10,181
2020-09-17,119
2020-09-19,66
2020-09-23,133
2020-09-24,121
2020-10-07,147
2020-10-12,61
2020-11-15,118
2020-06-02,52
2020-06-03,94
2020-06-13,70
2020-06-15,86
2020-06-24,107
2020-06-28,75
2020-07-05,113
2020-07-07,192
2020-07-17,111
2020-07-18,60
2020-07-19,84
2020-07-31,266
2020-08-29,204
2020-09-15,150
2020-09-16,142
2020-09-29,104
2020-10-01,156
2020-10-06,90
2020-10-14,84
2020-10-15,90
2020-10-20,95
2020-10-22,62
2020-10-27,62
2020-11-08,26
2020-11-09,71
2020-11-20,59
2020-06-19,63
2020-06-20,53
2020-07-01,308
2020-07-02,219
2020-08-02,119
2020-10-03,64
2020-10-10,59
2020-10-18,36
2020-11-01,44
2020-11-03,84
2020-11-06,62
2020-11-10,71
2020-11-11,55
2020-11-12,58
2020-11-14,36
2020-09-20,53
2020-10-16,61
2020-11-22,28
2020-10-04,52
2020-10-31,30
2020-10-25,27