community_board,Avg daily calls per sqmi,crime_per_1000,Borough
1 MANHATTAN,40,6.8,MANHATTAN
2 MANHATTAN,82,15,MANHATTAN
3 MANHATTAN,137,15.2,MANHATTAN
4 MANHATTAN,94,18.1,MANHATTAN
5 MANHATTAN,63,29.4,MANHATTAN
6 MANHATTAN,72,11.7,MANHATTAN
7 MANHATTAN,114,9.5,MANHATTAN
8 MANHATTAN,45,10.2,MANHATTAN
9 MANHATTAN,131,11.2,MANHATTAN
10 MANHATTAN,171,14.2,MANHATTAN
11 MANHATTAN,55,15.5,MANHATTAN
12 MANHATTAN,170,9,MANHATTAN
1 BRONX,44,13.9,BRONX
2 BRONX,31,5.5,BRONX
3 BRONX,104,8.7,BRONX
4 BRONX,118,16.6,BRONX
5 BRONX,179,12.2,BRONX
6 BRONX,96,7.6,BRONX
7 BRONX,186,14.4,BRONX
8 BRONX,33,8.8,BRONX
9 BRONX,40,9.5,BRONX
10 BRONX,14,9.2,BRONX
11 BRONX,33,8.1,BRONX
12 BRONX,95,13.6,BRONX
1 BROOKLYN,47,12.7,BROOKLYN
2 BROOKLYN,51,14.9,BROOKLYN
3 BROOKLYN,81,18.5,BROOKLYN
4 BROOKLYN,69,12.3,BROOKLYN
5 BROOKLYN,36,21.6,BROOKLYN
6 BROOKLYN,30,7.8,BROOKLYN
7 BROOKLYN,28,8.3,BROOKLYN
8 BROOKLYN,108,8.7,BROOKLYN
9 BROOKLYN,111,9.5,BROOKLYN
10 BROOKLYN,23,6.1,BROOKLYN
11 BROOKLYN,40,5.4,BROOKLYN
12 BROOKLYN,36,5.5,BROOKLYN
13 BROOKLYN,18,8.1,BROOKLYN
14 BROOKLYN,71,7.2,BROOKLYN
15 BROOKLYN,29,7,BROOKLYN
16 BROOKLYN,70,12.4,BROOKLYN
17 BROOKLYN,45,10.9,BROOKLYN
18 BROOKLYN,19,7.2,BROOKLYN
1 QUEENS,30,10.9,QUEENS
2 QUEENS,21,6.9,QUEENS
3 QUEENS,43,8.4,QUEENS
4 QUEENS,45,8.6,QUEENS
5 QUEENS,25,7.2,QUEENS
6 QUEENS,24,4.4,QUEENS
7 QUEENS,15,7.7,QUEENS
8 QUEENS,20,7.3,QUEENS
9 QUEENS,52,4.8,QUEENS
10 QUEENS,23,8.4,QUEENS
11 QUEENS,8,5.8,QUEENS
12 QUEENS,23,11.2,QUEENS
13 QUEENS,11,7.8,QUEENS
14 QUEENS,12,10.2,QUEENS
1 STATEN ISLAND,11,7.5,STATEN ISLAND
2 STATEN ISLAND,4,4.4,STATEN ISLAND
3 STATEN ISLAND,5,2.6,STATEN ISLAND