Date,Noise - Residential
2020-06-01,550
2020-06-02,663
2020-06-03,1232
2020-06-04,750
2020-06-05,657
2020-06-06,1393
2020-06-07,2557
2020-06-08,1042
2020-06-09,764
2020-06-10,725
2020-06-11,604
2020-06-12,1135
2020-06-13,2139
2020-06-14,2003
2020-06-15,1025
2020-06-16,1142
2020-06-17,1820
2020-06-18,1002
2020-06-19,1631
2020-06-20,4599
2020-06-21,3426
2020-06-22,1608
2020-06-23,743
2020-06-24,726
2020-06-25,800
2020-06-26,1273
2020-06-27,1803
2020-06-28,1942
2020-06-29,782
2020-06-30,744
2020-07-01,581
2020-07-02,718
2020-07-03,923
2020-07-04,3113
2020-07-05,4688
2020-07-06,1235
2020-07-07,536
2020-07-08,577
2020-07-09,581
2020-07-10,613
2020-07-11,1537
2020-07-12,1756
2020-07-13,657
2020-07-14,892
2020-07-15,659
2020-07-16,867
2020-07-17,1281
2020-07-18,1384
2020-07-19,1731
2020-07-20,1244
2020-07-21,982
2020-07-22,1306
2020-07-23,1432
2020-07-24,1038
2020-07-25,2573
2020-07-26,2515
2020-07-27,984
2020-07-28,554
2020-07-29,1158
2020-07-30,645
2020-07-31,965
2020-08-01,4210
2020-08-02,2915
2020-08-03,756
2020-08-04,982
2020-08-05,1350
2020-08-06,1324
2020-08-07,1222
2020-08-08,3351
2020-08-09,3667
2020-08-10,2024
2020-08-11,958
2020-08-12,761
2020-08-13,1117
2020-08-14,795
2020-08-15,2936
2020-08-16,2086
2020-08-17,1391
2020-08-18,665
2020-08-19,707
2020-08-20,790
2020-08-21,964
2020-08-22,2095
2020-08-23,2615
2020-08-24,1397
2020-08-25,497
2020-08-26,631
2020-08-27,837
2020-08-28,962
2020-08-29,1900
2020-08-30,2451
2020-08-31,1555
2020-09-01,891
2020-09-02,1169
2020-09-03,1377
2020-09-04,1525
2020-09-05,2258
2020-09-06,2821
2020-09-07,2796
2020-09-08,868
2020-09-09,852
2020-09-10,918
2020-09-11,974
2020-09-12,2587
2020-09-13,3051
2020-09-14,1647
2020-09-15,1123
2020-09-16,1337
2020-09-17,2697
2020-09-18,1691
2020-09-19,2924
2020-09-20,2889
2020-09-21,1653
2020-09-22,1144
2020-09-23,818
2020-09-24,1048
2020-09-25,1268
2020-09-26,2654
2020-09-27,2409
2020-09-28,672
2020-09-29,598
2020-09-30,741
2020-10-01,1166
2020-10-02,1834
2020-10-03,2460
2020-10-04,2986
2020-10-05,1145
2020-10-06,994
2020-10-07,841
2020-10-08,878
2020-10-09,1285
2020-10-10,2987
2020-10-11,2827
2020-10-12,710
2020-10-13,617
2020-10-14,891
2020-10-15,757
2020-10-16,776
2020-10-17,2124
2020-10-18,1749
2020-10-19,706
2020-10-20,724
2020-10-21,843
2020-10-22,779
2020-10-23,1129
2020-10-24,1874
2020-10-25,1670
2020-10-26,708
2020-10-27,665
2020-10-28,602
2020-10-29,635
2020-10-30,872
2020-10-31,1945
2020-11-01,2159
2020-11-02,535
2020-11-03,943
2020-11-04,613
2020-11-05,626
2020-11-06,1059
2020-11-07,1776
2020-11-08,1743
2020-11-09,754
2020-11-10,620
2020-11-11,603
2020-11-12,580
2020-11-13,755
2020-11-14,1468
2020-11-15,1228
2020-11-16,581
2020-11-17,495
2020-11-18,668
2020-11-19,553
2020-11-20,900
2020-11-21,1545
2020-11-22,1305
2020-11-23,871
2020-11-24,689
2020-11-25,85