Date,Noise - Street/Sidewalk
2020-06-01,309
2020-06-02,333
2020-06-03,383
2020-06-04,641
2020-06-05,391
2020-06-06,987
2020-06-07,1480
2020-06-08,1086
2020-06-09,1077
2020-06-10,965
2020-06-11,621
2020-06-12,1317
2020-06-13,2134
2020-06-14,2393
2020-06-15,1342
2020-06-16,1411
2020-06-17,1551
2020-06-18,1669
2020-06-19,2332
2020-06-20,3489
2020-06-21,4287
2020-06-22,2128
2020-06-23,1306
2020-06-24,1266
2020-06-25,1466
2020-06-26,1758
2020-06-27,2284
2020-06-28,2629
2020-06-29,1229
2020-06-30,929
2020-07-01,551
2020-07-02,1057
2020-07-03,1170
2020-07-04,2344
2020-07-05,2946
2020-07-06,679
2020-07-07,524
2020-07-08,494
2020-07-09,723
2020-07-10,460
2020-07-11,961
2020-07-12,1911
2020-07-13,883
2020-07-14,702
2020-07-15,748
2020-07-16,937
2020-07-17,1049
2020-07-18,1311
2020-07-19,1795
2020-07-20,762
2020-07-21,597
2020-07-22,317
2020-07-23,529
2020-07-24,933
2020-07-25,1664
2020-07-26,1765
2020-07-27,853
2020-07-28,551
2020-07-29,623
2020-07-30,562
2020-07-31,881
2020-08-01,1821
2020-08-02,1723
2020-08-03,582
2020-08-04,306
2020-08-05,607
2020-08-06,766
2020-08-07,694
2020-08-08,1711
2020-08-09,2146
2020-08-10,758
2020-08-11,518
2020-08-12,410
2020-08-13,523
2020-08-14,1007
2020-08-15,1907
2020-08-16,1558
2020-08-17,498
2020-08-18,594
2020-08-19,675
2020-08-20,945
2020-08-21,1227
2020-08-22,1756
2020-08-23,1885
2020-08-24,557
2020-08-25,376
2020-08-26,556
2020-08-27,414
2020-08-28,729
2020-08-29,1338
2020-08-30,1929
2020-08-31,837
2020-09-01,532
2020-09-02,458
2020-09-03,258
2020-09-04,814
2020-09-05,1710
2020-09-06,1965
2020-09-07,1797
2020-09-08,652
2020-09-09,498
2020-09-10,194
2020-09-11,927
2020-09-12,1617
2020-09-13,1772
2020-09-14,593
2020-09-15,532
2020-09-16,531
2020-09-17,760
2020-09-18,865
2020-09-19,1192
2020-09-20,1084
2020-09-21,479
2020-09-22,306
2020-09-23,629
2020-09-24,657
2020-09-25,999
2020-09-26,1618
2020-09-27,1437
2020-09-28,507
2020-09-30,496
2020-10-01,597
2020-10-02,798
2020-10-03,1334
2020-10-04,1100
2020-10-05,544
2020-10-06,474
2020-10-07,388
2020-10-08,324
2020-10-09,710
2020-10-10,1350
2020-10-11,1056
2020-10-12,115
2020-10-13,243
2020-10-14,587
2020-10-15,640
2020-10-16,306
2020-10-17,606
2020-10-18,931
2020-10-19,407
2020-10-20,471
2020-10-21,515
2020-10-22,588
2020-10-23,957
2020-10-24,1083
2020-10-25,463
2020-10-26,264
2020-10-27,326
2020-10-29,102
2020-10-30,148
2020-10-31,397
2020-11-01,329
2020-11-02,143
2020-11-03,191
2020-11-04,343
2020-11-05,448
2020-11-06,739
2020-11-07,929
2020-11-08,1101
2020-11-09,529
2020-11-10,509
2020-11-12,160
2020-11-13,303
2020-11-14,518
2020-11-16,173
2020-11-17,124
2020-11-18,91
2020-11-19,143
2020-11-21,643
2020-11-22,333
2020-11-24,193
2020-09-29,263
2020-10-28,355
2020-11-11,190
2020-11-15,383
2020-11-20,477
2020-11-23,126
2020-11-25,28