Date,Noise - Vehicle
2020-06-01,131
2020-06-02,113
2020-06-03,165
2020-06-06,326
2020-06-07,453
2020-06-08,406
2020-06-09,350
2020-06-12,377
2020-06-13,471
2020-06-14,520
2020-06-15,291
2020-06-16,335
2020-06-17,317
2020-06-18,338
2020-06-19,442
2020-06-20,582
2020-06-21,593
2020-06-22,320
2020-06-23,250
2020-06-24,266
2020-06-25,327
2020-06-26,428
2020-06-27,463
2020-06-28,549
2020-06-29,302
2020-07-01,197
2020-07-02,256
2020-07-03,264
2020-07-04,338
2020-07-05,457
2020-07-06,200
2020-07-07,195
2020-07-08,232
2020-07-09,293
2020-07-10,229
2020-07-11,279
2020-07-12,536
2020-07-13,296
2020-07-14,321
2020-07-15,311
2020-07-16,312
2020-07-17,358
2020-07-18,410
2020-07-19,570
2020-07-20,255
2020-07-21,191
2020-07-23,199
2020-07-24,334
2020-07-25,460
2020-07-26,466
2020-07-27,291
2020-07-28,193
2020-07-29,252
2020-07-30,190
2020-07-31,295
2020-08-01,689
2020-08-02,630
2020-08-04,193
2020-08-05,261
2020-08-06,325
2020-08-07,187
2020-08-08,524
2020-08-09,602
2020-08-10,297
2020-08-11,230
2020-08-12,205
2020-08-13,222
2020-08-14,411
2020-08-15,612
2020-08-16,509
2020-08-17,244
2020-08-18,246
2020-08-19,262
2020-08-20,292
2020-08-21,403
2020-08-22,475
2020-08-23,707
2020-08-24,250
2020-08-25,183
2020-08-26,312
2020-08-28,253
2020-08-29,397
2020-08-30,569
2020-08-31,381
2020-09-01,210
2020-09-02,238
2020-09-04,680
2020-09-05,437
2020-09-06,479
2020-09-07,600
2020-09-08,249
2020-09-09,219
2020-09-10,110
2020-09-11,312
2020-09-12,467
2020-09-13,981
2020-09-14,310
2020-09-15,240
2020-09-16,236
2020-09-17,285
2020-09-19,852
2020-09-20,657
2020-09-21,512
2020-09-22,158
2020-09-23,323
2020-09-24,327
2020-09-25,362
2020-09-26,473
2020-09-27,505
2020-09-28,244
2020-09-29,170
2020-09-30,264
2020-10-01,248
2020-10-02,659
2020-10-03,505
2020-10-04,382
2020-10-05,223
2020-10-06,232
2020-10-07,224
2020-10-09,274
2020-10-10,414
2020-10-12,136
2020-10-13,187
2020-10-14,234
2020-10-15,238
2020-10-17,235
2020-10-18,280
2020-10-19,407
2020-10-20,186
2020-10-21,238
2020-10-22,289
2020-10-23,377
2020-10-24,489
2020-10-25,217
2020-10-26,134
2020-10-27,216
2020-10-31,231
2020-11-03,131
2020-11-04,544
2020-11-07,411
2020-11-08,488
2020-11-09,240
2020-11-10,190
2020-11-12,101
2020-11-13,175
2020-11-14,198
2020-11-16,138
2020-11-17,92
2020-11-18,74
2020-11-19,109
2020-11-20,236
2020-11-21,300
2020-11-22,190
2020-11-23,93
2020-11-24,108
2020-06-04,256
2020-06-05,152
2020-06-10,359
2020-06-11,222
2020-06-30,256
2020-08-03,252
2020-08-27,219
2020-09-03,135
2020-10-08,152
2020-10-11,413
2020-10-16,165
2020-10-28,148
2020-10-29,106
2020-10-30,128
2020-11-01,237
2020-11-02,113
2020-11-05,628
2020-11-06,344
2020-11-11,100
2020-07-22,126
2020-09-18,990
2020-11-15,189
2020-11-25,4